SS	0	20	1	597	552	598	0.9230769230769231
TMA	21	40	599	1196	504	598	0.842809364548495
DC	41	60	1198	1795	572	598	0.9565217391304348
DG	61	77	1797	2304	128	508	0.25196850393700787
TS	77	110	2306	3292	960	987	0.9726443768996961
AH	111	125	3294	3741	371	448	0.828125
SA	126	169	3743	5058	1239	1316	0.9414893617021277
DF	170	220	5060	6585	1182	1526	0.7745740498034076
CN	221	240	6587	7184	40	598	0.06688963210702341
SN	241	252	7186	7543	209	358	0.5837988826815642
ES	253	268	7545	8022	193	478	0.40376569037656906
GL	269	304	8024	9100	1017	1077	0.9442896935933147
HA	305	330	9102	9879	117	778	0.15038560411311053
AT_I1	331	345	9881	10328	154	448	0.34375
AT_M	346	383	10330	11465	1078	1136	0.948943661971831
AT_CH	384	410	11467	12274	584	808	0.7227722772277227
AT_S	411	438	12276	13112	697	837	0.8327359617682198
AT_I2	439	468	13114	14010	659	897	0.7346711259754738
AT_CA	469	487	14012	14579	517	568	0.9102112676056338
AT_O1	488	513	14581	15357	677	777	0.8712998712998713
AT_O2	514	538	15359	16106	683	748	0.9131016042780749
